Data,Canal,Solicitante,Plataforma,Tipo de problema,Problema,Solução
09/06/2025,Presencial,Aluno,Redigir,Interface,Aluno alega erro de upload na plataforma Redigir,Suporte contatado. 
10/06/2025,Presencial,Aluno,Edebê,Acesso,Aluna havia esquecido acesso da plataforma Edebê.,Credenciais informadas.
10/06/2025,Presencial,Aluno,Edebê,Acesso,Aluna havia esquecido acesso da plataforma Edebê.,Credenciais informadas.
10/06/2025,Presencial,Aluno,Edebê,Acesso,Aluna havia esquecido acesso da plataforma Edebê.,Credenciais informadas.
10/06/2025,Presencial,Aluno,Edebê,Acesso,Aluna havia esquecido acesso da plataforma Edebê.,Credenciais informadas.
10/06/2025,Presencial,Aluno,Edebê,Acesso,Aluno havia esquecido acesso da plataforma Edebê.,Credenciais informadas.
10/06/2025,Presencial,Aluno,Matific,Cadastro,Aluna nova não estava cadastrada na plataforma Matific.,Cadastro criado.
10/06/2025,Presencial,Aluno,Matific,Cadastro,Aluna nova não estava cadastrada na plataforma Matific.,Cadastro criado.
16/06/2025,E-mail ou Whatsapp,Colaborador,MS Teams,Interface,Professor se queixa de possíveis problemas no upload de tarefas em suas equipes no MS Teams.,Investigação conduzida. Nada encontrado.
16/06/2025,Presencial,Colaborador,MS Teams,Cadastro,Professora estava utilizando e-mail incorreto para acesso ao MS Teams.,Instrução ministrada. 
17/06/2025,Presencial,Aluno,Árvore,Acesso,Aluna esqueceu em casa seu código de aceso da plataforma Árvore.,Código informado.
17/06/2025,Presencial,Aluno,Árvore,Acesso,Aluna esqueceu em casa seu código de aceso da plataforma Árvore.,Código informado.
